osm_id,name,dist_boundary_m,dist_centroid_m,centroid_outside_polygon,facility_count,underserved_1000,underserved_1500,underserved_2000
9320234,Eskişehir Mahallesi,143.975426,433.123771,False,0,False,False,False
9320236,Bozkurt Mahallesi,86.504084,415.749291,False,0,False,False,False
9320291,Feriköy Mahallesi,0.0,156.054545,False,1,False,False,False
9321888,Mahmut Şevket Paşa Mahallesi,174.91083,462.547831,False,0,False,False,False
9321890,Halil Rıfat Paşa Mahallesi,48.310135,486.717263,False,0,False,False,False
9321891,Kaptanpaşa Mahallesi,0.0,87.583801,False,2,False,False,False
9321912,Halide Edip Adıvar Mahallesi,0.0,337.369457,False,1,False,False,False
9321929,Paşa Mahallesi,215.743136,532.891239,False,0,False,False,False
9321930,Duatepe Mahallesi,31.885827,261.471182,False,0,False,False,False
9322001,Yayla Mahallesi,47.109545,311.644671,False,0,False,False,False
9324375,İzzetpaşa Mahallesi,0.0,199.689897,False,1,False,False,False
9324437,Merkez Mahallesi,0.0,189.554807,False,4,False,False,False
9324438,Cumhuriyet Mahallesi,0.0,298.408165,False,2,False,False,False
9324445,19 Mayıs Mahallesi,0.0,112.664565,False,4,False,False,False
9324450,Halaskargazi Mahallesi,51.973293,264.732217,False,0,False,False,False
9324472,Meşrutiyet Mahallesi,12.020016,322.045598,False,0,False,False,False
9324473,Teşvikiye Mahallesi,0.0,196.61803,False,6,False,False,False
9327583,Fulya Mahallesi,0.0,308.588758,False,4,False,False,False
9327603,Esentepe Mahallesi,0.0,411.029016,False,3,False,False,False
9327605,Mecidiyeköy Mahallesi,0.0,148.384756,False,2,False,False,False
9327610,Gülbahar Mahallesi,0.0,130.463342,False,3,False,False,False
9327636,Muradiye Mahallesi,229.741365,421.196371,False,0,False,False,False
9327651,Türkali Mahallesi,411.585408,683.402906,False,0,False,False,False
9327671,Sinanpaşa Mahallesi,430.412545,690.838881,False,0,False,False,False
9327672,Cihannüma Mahallesi,320.316125,537.354499,False,0,False,False,False
9327673,Abbasağa Mahallesi,635.677124,833.479601,False,0,False,False,False
9335346,Gayrettepe Mahallesi,0.0,196.512283,False,2,False,False,False
9335348,Balmumcu Mahallesi,279.121275,862.942056,False,0,False,False,False
9335349,Dikilitaş Mahallesi,0.0,449.078833,False,1,False,False,False
9335350,Yıldız Mahallesi,0.0,481.602924,False,1,False,False,False
9335638,Mecidiye Mahallesi,784.947103,1100.69387,False,0,True,False,False
9335689,Ortaköy Mahallesi,22.198368,691.479152,False,0,False,False,False
9338580,Levazım Mahallesi,218.520084,788.066654,False,0,False,False,False
9338582,Ulus Mahallesi,0.0,425.981394,False,2,False,False,False
9338583,Nisbetiye Mahallesi,0.0,239.302312,False,5,False,False,False
9338584,Kültür Mahallesi,0.0,153.354918,False,1,False,False,False
9338586,Arnavutköy Mahallesi,538.292645,885.8518,False,0,False,False,False
9340106,Kuruçeşme Mahallesi,203.322266,490.10553,False,0,False,False,False
9340873,Konaklar Mahallesi,68.289485,1008.562187,False,0,True,False,False
9340882,Levent Mahallesi,0.0,533.048815,False,2,False,False,False
9340899,Akat Mahallesi,98.537553,977.87611,False,0,False,False,False
9343684,Bebek Mahallesi,0.0,695.652178,False,1,False,False,False
9343698,Etiler Mahallesi,0.0,233.276075,False,2,False,False,False
9343740,Rumelihisarı Mahallesi,0.0,391.610735,False,1,False,False,False
9343795,Baltalimanı Mahallesi,0.0,466.341242,False,7,False,False,False
9343796,Fatih Sultan Mehmet Mahallesi,0.0,294.35445,False,1,False,False,False
9345828,Emirgan Mahallesi,152.929029,939.812298,False,0,False,False,False
